index,year,Iceland,Svalbard,Russia,Alaska,Arctic-Canada,Norway-Sweden,Greenland
25,1996,-20.65975826014214,-141.64231688640214,-283.2846337728043,-563.7435442309136,-45.52951561435126,-6.84510471417234,-1021.5246420000002
26,1997,-39.22712732402083,-144.6916215434403,-289.3832430868806,-683.1592022234865,-36.37297156171514,-7.79338663059479,-1012.5766950000002
27,1998,-54.929789424033935,-161.77180757717093,-323.54361515434186,-740.3214824790273,-77.0147318897795,-8.164915958622826,-1253.7331580000002
28,1999,-63.87827896271651,-169.39421642368063,-338.78843284736126,-788.1817106713207,-126.97990049353115,-8.873659787843074,-1299.7056620000003
29,2000,-80.50369244306744,-165.3241082490009,-330.6482164980018,-763.5375811474947,-192.85222878100632,-8.380712274922624,-1375.4318290000003
30,2001,-91.86673033548621,-177.0887069734422,-354.1774139468844,-764.0582119206424,-234.87626124567242,-9.90760401967088,-1400.1059840000003
31,2002,-102.65162500732735,-184.48667379249736,-368.9733475849947,-814.1345891492443,-217.5670823040571,-11.782274108380266,-1540.4947360000003
32,2003,-118.01026833507069,-196.6185707147672,-393.2371414295344,-843.5662172196179,-235.36562593350973,-13.930759353150407,-1705.4462050000004
33,2004,-135.65289491034338,-212.35319593374234,-424.7063918674847,-997.5544015266985,-198.51230726812932,-14.85579846035072,-1869.0571350000005
34,2005,-149.48608742951842,-226.30807901442495,-452.6161580288499,-1070.5795830752593,-248.3860075571209,-15.254330400412222,-2035.1947200000004
35,2006,-160.99980002132352,-234.63064728779045,-469.2612945755809,-1105.7003460162698,-266.7789062418905,-18.278323286688092,-2272.3520250000006
36,2007,-171.74729069006025,-241.40661775483298,-482.81323550966596,-1158.60211572642,-359.613904011657,-18.54874255989944,-2527.0750980000007
37,2008,-184.48776296536016,-236.86061707358402,-473.72123414716805,-1138.1790231345,-458.9214412490933,-18.605930960616075,-2724.809612000001
38,2009,-189.07854621082052,-241.36845601683515,-482.7369120336703,-1210.7818423355661,-542.0552672227361,-19.56396143663564,-2963.001647000001
39,2010,-225.83428036564152,-243.31379995341186,-486.6275999068237,-1311.0436889217262,-606.7679015048308,-21.35636200163923,-3334.979056000001
40,2011,-230.84940203105268,-265.23939213422244,-530.4787842684449,-1406.2929005196136,-767.6559897329337,-23.354473090155455,-3663.564157000001
41,2012,-238.95677530706266,-271.63994406464957,-543.2798881292991,-1428.5036483848066,-912.7167084634656,-23.16827093052182,-4087.998957000001
42,2013,-244.78036467989307,-302.5328569325987,-605.0657138651974,-1554.9552151795574,-893.9016015231921,-25.175914178307544,-4187.563235000001
43,2014,-257.20415302831395,-303.91188394814475,-607.8237678962895,-1620.718759356147,-918.8524886961457,-26.894584343179233,-4369.226613000002
44,2015,-246.82162500732733,-321.8966737924974,-643.7933475849948,-1718.8045891492443,-1025.777082304057,-26.472274108380265,-4582.047247000001
45,2016,-260.07679949301826,-350.1371201683218,-700.2742403366436,-1797.2766037042704,-1108.0887615243885,-27.43651515241531,-4840.045476000001
46,2017,-264.7893921218745,-368.4599801746405,-736.919960349281,-1925.1200210854774,-1095.2371060787004,-27.656791071114537,-4940.638117000001
47,2018,-263.04391878071993,-392.5694192293332,-785.1388384586664,-2047.2620064205432,-1064.2079721202097,-30.107023255877706,-5012.978844000001
48,2019,-280.43415086375757,-410.0355709383246,-820.0711418766492,-2233.87351756486,-1179.7546296836817,-31.808078867260015,-5423.225426000001
49,2020,-286.42003746317357,-451.66754523108517,-903.3350904621703,-2304.491299467835,-1283.8184164030467,-31.84955339217924,-5594.9094350000005
50,2021,-303.0505378403385,-457.7524047866928,-915.5048095733856,-2359.5508390764303,-1283.8184164030467,-33.45605559877103,-5783.071586
